metric,value
model,Sigmoid
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.3806
p95_ms,0.4754
p99_ms,0.6498
min_ms,0.3456
max_ms,1.0275
mean_ms,0.3982
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.3456
1,0.3480
2,0.3480
3,0.3494
4,0.3497
5,0.3506
6,0.3515
7,0.3515
8,0.3517
9,0.3520
10,0.3520
11,0.3529
12,0.3538
13,0.3541
14,0.3541
15,0.3544
16,0.3544
17,0.3544
18,0.3547
19,0.3547
20,0.3550
21,0.3550
22,0.3550
23,0.3553
24,0.3555
25,0.3555
26,0.3555
27,0.3555
28,0.3555
29,0.3558
30,0.3558
31,0.3561
32,0.3561
33,0.3561
34,0.3561
35,0.3561
36,0.3561
37,0.3564
38,0.3564
39,0.3564
40,0.3564
41,0.3564
42,0.3564
43,0.3564
44,0.3567
45,0.3567
46,0.3567
47,0.3570
48,0.3570
49,0.3570
50,0.3570
51,0.3573
52,0.3573
53,0.3573
54,0.3573
55,0.3573
56,0.3573
57,0.3573
58,0.3573
59,0.3573
60,0.3576
61,0.3576
62,0.3576
63,0.3576
64,0.3576
65,0.3576
66,0.3579
67,0.3579
68,0.3579
69,0.3579
70,0.3579
71,0.3579
72,0.3582
73,0.3582
74,0.3582
75,0.3585
76,0.3585
77,0.3585
78,0.3585
79,0.3585
80,0.3585
81,0.3585
82,0.3587
83,0.3587
84,0.3587
85,0.3587
86,0.3587
87,0.3587
88,0.3590
89,0.3590
90,0.3590
91,0.3590
92,0.3590
93,0.3590
94,0.3590
95,0.3590
96,0.3590
97,0.3593
98,0.3593
99,0.3593
100,0.3593
101,0.3593
102,0.3593
103,0.3596
104,0.3596
105,0.3596
106,0.3596
107,0.3596
108,0.3596
109,0.3596
110,0.3599
111,0.3599
112,0.3599
113,0.3599
114,0.3599
115,0.3599
116,0.3599
117,0.3599
118,0.3602
119,0.3602
120,0.3602
121,0.3602
122,0.3605
123,0.3605
124,0.3605
125,0.3605
126,0.3605
127,0.3605
128,0.3605
129,0.3608
130,0.3608
131,0.3608
132,0.3608
133,0.3608
134,0.3608
135,0.3608
136,0.3611
137,0.3611
138,0.3611
139,0.3611
140,0.3611
141,0.3611
142,0.3611
143,0.3611
144,0.3611
145,0.3614
146,0.3614
147,0.3614
148,0.3614
149,0.3617
150,0.3617
151,0.3617
152,0.3617
153,0.3617
154,0.3620
155,0.3620
156,0.3620
157,0.3620
158,0.3620
159,0.3620
160,0.3620
161,0.3620
162,0.3620
163,0.3620
164,0.3620
165,0.3620
166,0.3620
167,0.3620
168,0.3623
169,0.3623
170,0.3623
171,0.3623
172,0.3625
173,0.3625
174,0.3625
175,0.3625
176,0.3625
177,0.3625
178,0.3628
179,0.3628
180,0.3628
181,0.3628
182,0.3628
183,0.3628
184,0.3628
185,0.3628
186,0.3631
187,0.3631
188,0.3634
189,0.3634
190,0.3634
191,0.3634
192,0.3634
193,0.3634
194,0.3634
195,0.3637
196,0.3637
197,0.3637
198,0.3637
199,0.3640
200,0.3640
201,0.3640
202,0.3640
203,0.3640
204,0.3640
205,0.3640
206,0.3640
207,0.3643
208,0.3643
209,0.3646
210,0.3646
211,0.3646
212,0.3646
213,0.3649
214,0.3649
215,0.3649
216,0.3649
217,0.3649
218,0.3649
219,0.3649
220,0.3649
221,0.3649
222,0.3652
223,0.3652
224,0.3652
225,0.3652
226,0.3652
227,0.3652
228,0.3655
229,0.3655
230,0.3655
231,0.3655
232,0.3655
233,0.3658
234,0.3658
235,0.3658
236,0.3658
237,0.3658
238,0.3660
239,0.3660
240,0.3660
241,0.3660
242,0.3660
243,0.3660
244,0.3660
245,0.3660
246,0.3660
247,0.3663
248,0.3663
249,0.3663
250,0.3663
251,0.3663
252,0.3663
253,0.3663
254,0.3666
255,0.3666
256,0.3666
257,0.3666
258,0.3669
259,0.3669
260,0.3669
261,0.3669
262,0.3669
263,0.3669
264,0.3669
265,0.3669
266,0.3669
267,0.3672
268,0.3672
269,0.3672
270,0.3672
271,0.3675
272,0.3675
273,0.3675
274,0.3675
275,0.3678
276,0.3678
277,0.3681
278,0.3681
279,0.3681
280,0.3684
281,0.3684
282,0.3684
283,0.3684
284,0.3684
285,0.3687
286,0.3687
287,0.3687
288,0.3687
289,0.3687
290,0.3690
291,0.3690
292,0.3690
293,0.3690
294,0.3690
295,0.3692
296,0.3692
297,0.3692
298,0.3693
299,0.3695
300,0.3695
301,0.3695
302,0.3695
303,0.3698
304,0.3698
305,0.3698
306,0.3698
307,0.3698
308,0.3701
309,0.3701
310,0.3701
311,0.3701
312,0.3701
313,0.3704
314,0.3704
315,0.3704
316,0.3704
317,0.3704
318,0.3704
319,0.3704
320,0.3704
321,0.3704
322,0.3704
323,0.3704
324,0.3704
325,0.3707
326,0.3707
327,0.3707
328,0.3707
329,0.3707
330,0.3707
331,0.3710
332,0.3710
333,0.3710
334,0.3710
335,0.3710
336,0.3710
337,0.3710
338,0.3710
339,0.3713
340,0.3713
341,0.3713
342,0.3713
343,0.3713
344,0.3713
345,0.3713
346,0.3713
347,0.3716
348,0.3716
349,0.3716
350,0.3716
351,0.3716
352,0.3716
353,0.3716
354,0.3716
355,0.3716
356,0.3719
357,0.3719
358,0.3719
359,0.3719
360,0.3719
361,0.3722
362,0.3722
363,0.3722
364,0.3725
365,0.3725
366,0.3728
367,0.3728
368,0.3728
369,0.3728
370,0.3728
371,0.3728
372,0.3730
373,0.3733
374,0.3733
375,0.3733
376,0.3733
377,0.3733
378,0.3733
379,0.3736
380,0.3736
381,0.3736
382,0.3736
383,0.3736
384,0.3736
385,0.3739
386,0.3739
387,0.3739
388,0.3739
389,0.3739
390,0.3742
391,0.3742
392,0.3742
393,0.3742
394,0.3742
395,0.3742
396,0.3745
397,0.3745
398,0.3745
399,0.3745
400,0.3745
401,0.3745
402,0.3745
403,0.3745
404,0.3745
405,0.3745
406,0.3745
407,0.3745
408,0.3748
409,0.3751
410,0.3751
411,0.3751
412,0.3751
413,0.3751
414,0.3751
415,0.3751
416,0.3754
417,0.3754
418,0.3757
419,0.3757
420,0.3757
421,0.3760
422,0.3760
423,0.3760
424,0.3762
425,0.3762
426,0.3762
427,0.3765
428,0.3765
429,0.3768
430,0.3768
431,0.3768
432,0.3768
433,0.3768
434,0.3768
435,0.3768
436,0.3768
437,0.3771
438,0.3771
439,0.3771
440,0.3771
441,0.3771
442,0.3771
443,0.3771
444,0.3774
445,0.3774
446,0.3774
447,0.3774
448,0.3777
449,0.3777
450,0.3777
451,0.3777
452,0.3777
453,0.3777
454,0.3777
455,0.3777
456,0.3780
457,0.3780
458,0.3783
459,0.3783
460,0.3783
461,0.3786
462,0.3786
463,0.3786
464,0.3786
465,0.3786
466,0.3786
467,0.3789
468,0.3789
469,0.3789
470,0.3789
471,0.3789
472,0.3789
473,0.3789
474,0.3789
475,0.3792
476,0.3792
477,0.3792
478,0.3792
479,0.3792
480,0.3792
481,0.3795
